Rivals,Apple,5,6.137317511285053
Apple,The,4,2.5889735461319443
The,Mac,3,2.349728347656894
Mac,mini,4,2.9341971707148575
mini,cheapest,8,9.823783524734269
cheapest,Apple,7,10.265368400262677
Apple,computer,6,4.99394767217997
computer,ever,6,8.304054446235241
ever,But,4,4.356921525907983
But,though,5,5.867511134037043
though,cheap,5,2.591710540747842
cheap,Mac,4,5.912201292233302
Mac,compare,6,3.296543871037823
compare,PCs,7,6.4385236650877316
PCs,cost,3,2.8138600791173345
cost,amount,4,4.791032361203499
amount,tries,6,4.301526878121342
tries,find,4,5.6823494289239465
find,get,4,3.525549874154592
get,money,4,5.275599612628165
money,stick,5,4.683461978586904
stick,beige,4,2.062952011041974
beige,box,4,2.565391844230362
box,An,3,2.2393304439565913
An,extremely,9,11.65668556112214
extremely,small,7,5.798561022440481
small,computer,7,5.72950399671079
computer,designed,7,9.665255663669118
designed,bring,6,3.328629136832813
bring,Macintosh,7,6.1161347937636945
Macintosh,masses,7,3.8174612486798885
masses,Apple,5,3.0826052299160187
Apple,offer,5,3.76629518528134
offer,less,5,4.632028358835368
less,powerful,7,3.985306284251406
powerful,Mac,8,11.015508123491724
Mac,Mini,3,2.8184952208645226
Mini,models,6,7.786090602421708
models,Power,4,4.619717292852947
Power,PC,4,2.6983389585570494
PC,chip,4,2.86357314352357
chip,gigabyte,8,8.050109108971458
gigabyte,hard,7,7.6748992195519
hard,drive,5,3.1997342296751685
drive,combined,6,7.169535101760685
combined,CD,8,6.397562096172656
CD,player,6,4.144546844474197
player,It,6,4.569867098299843
It,comes,5,3.2479141569652814
comes,equipped,7,9.795638514001418
equipped,USB,8,7.811597466601332
USB,Firewire,8,8.995177839918997
Firewire,ports,7,7.489927304841875
ports,peripheral,8,7.507960222613841
peripheral,connections,11,16.202074468379948
connections,Ethernet,10,12.702644408729924
Ethernet,port,6,7.030995697426758
port,broadband,8,8.776810246898576
broadband,port,8,6.995126503176577
port,standard,7,7.730383425200382
standard,video,7,10.256227940316755
video,output,6,3.057701356952612
output,machine,7,7.911656088724804
machine,comes,6,5.428562606253097
comes,Mac,5,4.023644608363726
Mac,OS,3,3.4069107636412608
OS,X,2,2.936708845392588
X,Apple,5,3.603958370266147
Apple,operating,8,8.03896172802702
operating,system,8,9.191919733407863
system,software,6,4.120916179797476
software,suite,5,2.9473711068710946
suite,iLife,3,4.010727411779776
iLife,includes,6,8.184624502890822
includes,iTunes,4,5.953028024490752
iTunes,iPhoto,5,6.544094921135635
iPhoto,iMovie,5,7.001872575913815
iMovie,iDVD,5,7.227284846771381
iDVD,GarageBand,10,13.676047698171846
GarageBand,A,10,7.463262327151727
A,monitor,7,8.337534334878594
monitor,keyboard,7,7.744021767251908
keyboard,mouse,7,9.948562108112526
mouse,There,4,3.4584119458023874
There,also,5,3.4176103818017047
also,support,6,7.753803421314082
support,wireless,8,7.555819581405262
wireless,technology,9,12.884364504372861
technology,speakers,10,8.884570224317025
speakers,The,7,8.604378353841653
The,lack,4,2.2785123889545718
lack,DVD,4,4.093324510869424
DVD,burner,6,6.059960705771012
burner,omission,8,8.424886902840164
omission,age,8,10.501262357023478
age,important,8,10.26664113512084
important,software,7,6.508362335152729
